

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = A or P
#DETECTION P-VALUE = 
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1416089_at	51427.3	P	0.001221
1416090_at	6421.2	P	0.000244
1416091_at	751.9	P	0.000244
1416092_a_at	778.6	P	0.001221
1416093_a_at	1511.4	P	0.000244
1416094_at	190.8	P	0.000244
1416095_x_at	6800.2	P	0.000244
1416096_at	789.1	P	0.000732
1416097_at	2.7	A	0.870361
1416098_at	44.3	A	0.533936
1416099_at	49925.7	P	0.000732
1416100_at	4122.3	P	0.000244
1416101_a_at	1194.2	P	0.000732
1416102_at	5548.2	P	0.000244
1416103_at	1932.7	P	0.000244
1416104_at	1139.8	P	0.000732
1416105_at	960.7	P	0.000244
1416106_at	1506.7	P	0.000244
1416107_at	7660.6	P	0.000244
1416108_a_at	944.3	P	0.001221
1416109_at	1016.4	P	0.000732
1416110_at	876.9	P	0.000244
1416111_at	286.8	P	0.001953
1416112_at	5849.8	P	0.000244
1416113_at	1792.4	P	0.00293
1416114_at	4.1	A	0.932373
1416115_at	936.8	P	0.000244
1416116_at	232	P	0.001953
1416117_at	159.5	A	0.067627
1416118_at	1666.5	P	0.000244
1416119_at	6925.6	P	0.000244
1416120_at	431.5	P	0.030273
1416121_at	18.8	A	0.5
1416122_at	14372.9	P	0.001953
1416123_at	1371.4	P	0.000244
1416124_at	427.4	P	0.001953
1416125_at	1142.5	P	0.001221
1416126_at	365	P	0.000244
1416127_a_at	1116	P	0.000244
1416128_at	218	P	0.008057
1416129_at	335.4	P	0.000244
1416130_at	146.5	P	0.037598
1416131_s_at	3729.4	P	0.000244
1416132_at	1425.6	P	0.000244
1416133_at	3307.1	P	0.000244
1416134_at	44.5	A	0.601074
1416135_at	2018.2	P	0.000244
1416136_at	100.7	A	0.19458
1416137_at	234.9	A	0.095215
1416138_at	2008	P	0.000244
1416139_at	55.8	A	0.149658
1416140_a_at	2457.5	P	0.000244
1416141_a_at	86320.6	P	0.000244
1416142_at	3919.4	P	0.000732
1416143_at	5678.7	P	0.000244
1416144_a_at	12939	P	0.000244
1416145_at	13151.9	P	0.000244
1416146_at	4949.8	P	0.000244
1416147_at	319.1	A	0.095215
1416148_at	177.8	A	0.19458
1416149_at	24.8	A	0.696289
1416150_a_at	10099.4	P	0.000244
1416151_at	474.4	P	0.000244
1416152_a_at	836	P	0.000244
1416153_at	4958.4	P	0.000244
1416154_at	68.2	P	0.023926
1416155_at	758.7	P	0.000244
1416156_at	136.8	P	0.008057
1416157_at	15.1	A	0.5
1416158_at	18.8	A	0.334473
1416159_at	17.4	A	0.72583
1416160_at	64.5	A	0.149658
1416161_at	3224.4	P	0.000244
1416162_at	807	P	0.000244
1416163_at	1830.6	P	0.005859
1416164_at	3.4	A	0.932373
1416165_at	141.6	P	0.037598
1416166_a_at	117.3	P	0.000244
1416167_at	533.3	P	0.000244
1416168_at	8.4	A	0.432373
1416169_at	25.1	A	0.111572
1416170_at	1989.7	P	0.000244
1416171_at	2758.2	P	0.000732
1416172_at	1444.3	P	0.000244
1416173_at	59.8	P	0.018555
1416174_at	161.9	P	0.00415
1416175_a_at	3960.3	P	0.000244
1416176_at	3809.8	P	0.000244
1416177_at	4390.3	P	0.000244
1416178_a_at	32.2	A	0.296143
1416179_a_at	2421.4	P	0.001953
1416180_a_at	925.7	P	0.000244
1416181_at	3225.6	P	0.000244
1416182_at	647.5	P	0.000244
1416183_a_at	1040.3	P	0.000732
1416184_s_at	670.8	P	0.000732
1416185_a_at	8070.3	P	0.000244
1416186_at	1910.4	P	0.000732
1416187_s_at	3072.9	P	0.000244
1416188_at	1013.7	P	0.000244
1416189_a_at	4639.9	P	0.000732
1416190_a_at	451.7	P	0.000244
1416191_at	661.8	P	0.008057
1416192_at	245.7	P	0.000732
1416193_at	4.4	A	0.665527
1416194_at	79.3	M	0.056152
1416195_at	2263.5	P	0.000732
1416196_at	56.9	P	0.0354
1416197_at	3017.5	P	0.000244
1416198_at	903.1	P	0.00293
1416199_at	132.6	P	0.005615
1416200_at	2	A	0.80542
1416201_at	727.2	P	0.008057
1416202_at	4410.3	P	0.000244
1416203_at	34.9	A	0.696289
1416204_at	89.6	A	0.188477
1416205_at	616.6	P	0.00293
1416206_at	2135.9	P	0.000244
1416207_at	2105.1	P	0.000244
1416208_at	1738.7	P	0.000244
1416209_at	3575.2	P	0.000244
1416210_at	5221.9	P	0.000732
1416211_a_at	12.7	A	0.870361
1416212_at	6822.4	P	0.000244
1416213_x_at	767.4	P	0.000244
1416214_at	3707.3	P	0.000244
1416215_at	1716.1	P	0.000244
1416216_at	1078.8	P	0.000244
1416217_a_at	66219.6	P	0.000244
1416218_x_at	2263.3	P	0.000732
1416219_at	73804	P	0.000244
1416220_at	6194.5	P	0.000244
1416221_at	1.2	A	0.943848
1416222_at	983.2	P	0.000732
1416223_at	431.1	P	0.046143
1416224_at	539.2	P	0.00293
1416225_at	1296.6	P	0.000244
1416226_at	12262.7	P	0.000244
1416227_at	304.1	A	0.095215
1416228_at	1264.8	P	0.000244
1416229_at	951.9	P	0.000244
1416230_at	949.6	P	0.000244
1416231_at	282.8	A	0.129639
1416232_at	8.4	A	0.398926
1416233_at	14529.2	P	0.000244
1416234_at	1500	P	0.000244
1416235_at	649.8	P	0.005859
1416236_a_at	25.8	A	0.326416
1416237_at	34.6	A	0.366211
1416238_at	30.5	A	0.5
1416239_at	3190.7	P	0.000244
1416240_at	6350.8	P	0.000244
1416241_at	2581.3	P	0.001953
1416242_at	6.5	A	0.850342
1416243_a_at	57816.5	P	0.000244
1416244_a_at	21404.3	P	0.000244
1416245_at	4721.9	P	0.000244
1416246_a_at	49175.2	P	0.000244
1416247_at	3290.5	P	0.000244
1416248_at	1327.9	P	0.000732
1416249_at	734.2	P	0.046143
1416250_at	8680.2	P	0.000244
1416251_at	1964.5	P	0.000732
1416252_at	9029.8	P	0.000244
1416253_at	4112.4	P	0.000244
1416254_a_at	1481.3	P	0.000244
1416255_at	47.9	A	0.466064
1416256_a_at	9595.3	P	0.000244
1416257_at	1275.6	P	0.000244
1416258_at	216	A	0.111572
1416259_at	329.9	P	0.000732
1416260_a_at	2051.1	P	0.000244
1416261_at	559.3	P	0.001953
1416262_at	407.3	P	0.00415
1416263_at	658.8	P	0.000244
1416264_at	471	P	0.01416
1416265_at	100.3	P	0.046143
1416266_at	5.3	A	0.919434
1416267_at	325.2	P	0.001221
1416268_at	1159.4	P	0.000244
1416269_at	11046.3	P	0.000244
